,strategy_id,strategy_name,assigned_color,deterministic,Niceness,Retaliation,Forgiveness,OverallCoop,AvgPayoff
122,123,SecondByYamachi,#c400ff,1,1.0,0.2769986190604844,0.2961784850684506,0.8007218045112781,2.661202067669173
123,124,ShortMem,#ce00ff,1,1.0,0.2712674930351557,0.6869648213997009,0.8356945488721805,2.67812030075188
124,125,SlowTitForTwoTats2,#d800ff,1,1.0,0.2247112713370642,0.0,0.8591804511278195,2.64175
125,126,SneakyTitForTat,#e200ff,1,1.0,0.4270499823092433,1.0,0.751218045112782,2.3068656015037594
126,127,SoftGrudger,#ec00ff,1,1.0,0.7343189108010887,0.0757152799975574,0.8445347744360903,2.712562969924812
127,128,SolutionB1,#f600ff,1,0.0,0.0,0.0,0.8993289473684213,1.9493524436090224
128,129,SolutionB5,#fa00f8,1,0.0,1.0,0.7241714540422741,0.3722622180451128,1.957201127819549
129,130,SpitefulCC,#fd00f1,1,1.0,0.6,0.0,0.6000131578947369,2.7505930451127822
130,131,SpitefulTitForTat,#ff00e9,1,1.0,1.0,0.5468889942574153,0.717984962406015,2.8492988721804515
131,132,SuspiciousTitForTat,#ff00df,1,0.0,1.0,1.0,0.5556795112781955,2.224201127819549
132,133,TF1,#ff00d5,1,1.0,0.4110456725731004,0.1182040158469471,0.0858251879699248,1.8897791353383464
133,134,TF2,#ff00cb,1,1.0,1.0,0.2266113822270908,0.1912932330827067,2.009072368421053
134,135,TF3,#ff00c1,1,1.0,0.3820512820512821,0.0,0.6147396616541353,2.7744708646616543
135,136,ThueMorse,#ff00b7,1,0.0,0.6227988704427951,0.611245410687688,0.5,1.7591842105263156
136,137,ThueMorseInverse,#ff00ad,1,1.0,0.6387947355379405,0.6622715301266925,0.5,1.832673872180451
137,138,Thumper,#ff00a3,1,1.0,1.0,0.3187100229758992,0.7364351503759398,2.6085723684210524
138,139,TitFor2Tats,#ff0099,1,1.0,0.2279837665458459,1.0,0.8864868421052632,2.618053571428572
139,140,TitForTat,#ff008f,1,1.0,1.0,1.0,0.83121992481203,2.72031484962406
140,141,TrickyCooperator,#ff0085,1,1.0,0.0,,0.825921992481203,1.7581964285714289
141,142,TrickyDefector,#ff007b,1,0.0,0.0,0.0,0.4177575187969924,1.7842904135338344
142,143,TrickyLevelPunisher,#ff0071,1,1.0,0.2280911271132843,0.0022966507177033,0.9641795112781956,2.537355263157895
143,144,TwoTitsForTat,#ff0067,1,1.0,1.0,0.0,0.6999924812030075,2.5928778195488724
144,145,UsuallyCooperates,#ff005d,1,1.0,0.0,,0.9652951127819548,2.3671090225563907
145,146,UsuallyDefects,#ff0053,1,0.0,1.0,0.0,0.0652406015037593,1.82728477443609
146,147,VeryBad,#ff0049,1,1.0,0.2811251694899141,0.604828426014323,0.8337387218045113,2.638847744360902
147,148,WinShiftLoseStay,#ff003f,1,0.0,0.0,1.0,0.5621315789473685,1.867078947368421
148,149,WinStayLoseShift,#ff0035,1,1.0,1.0,0.0,0.7936917293233082,2.5811146616541354
149,150,Winner12,#ff002b,1,1.0,0.7442918518866436,0.0,0.7252763157894736,2.863597744360902
150,151,Winner21,#ff0021,1,0.0,1.0,0.0,0.3632424812030074,2.028094924812029
151,152,e,#ff0017,1,1.0,0.0,,0.7913571428571429,1.84843984962406
